,quote_date,Dividend,underlying_bid_1545,symbol,expiration,strike,bid_1545,ask_1545,net_change,implied_volatility_1545,volume,Interest_rate,date_diff,expiration_group,Strike_diff,Strike_group
1422,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,30300.00,52.3,59.1, -51.25, 22.56,369.0,6.25,10.0,1_week,0.04258294059748513,mid_point
1423,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,30400.00,56.85,72.55, -59.05, 22.11,251.0,6.25,10.0,1_week,0.03942314832222937,mid_point
1424,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,30500.00,66.9,70.85, -77.80, 21.26,,6.25,10.0,1_week,0.036263356046973505,mid_point
1425,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,30600.00,60.0,92.2, -98.80, 20.05,,6.25,10.0,1_week,0.03310356377171764,mid_point
1426,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,30700.00,90.05,97.9, -104.15, 20.74,,6.25,10.0,1_week,0.02994377149646188,mid_point
1427,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,30800.00,105.05,124.75, -108.00, 21.52,,6.25,10.0,1_week,0.02678397922120601,mid_point
1428,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,30900.00,87.35,178.95, -136.80, 20.45,,6.25,10.0,1_week,0.023624186945950254,mid_point
1429,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,31000.00,152.95,154.7, -151.80, 20.35,,6.25,10.0,1_week,0.020464394670694386,mid_point
1430,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,31100.00,171.0,191.65, -174.85, 20.39,,6.25,10.0,1_week,0.017304602395438518,mid_point
1431,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,31200.00,205.0,213.3, -205.45, 19.38,,6.25,10.0,1_week,0.01414481012018276,mid_point
1432,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,31300.00,240.0,244.5, -200.25, 20.47,,6.25,10.0,1_week,0.010985017844926892,mid_point
1433,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,31400.00,262.0,294.75," -1,246.00", 20.66,,6.25,10.0,1_week,0.007825225569671135,mid_point
1434,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,31500.00,300.15,320.0, -250.90, 19.34,,6.25,10.0,1_week,0.0046654332944152666,mid_point
1435,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,31600.00,354.05,372.0," -1,163.60", 20.90,288.0,6.25,10.0,1_week,0.0015056410191593983,mid_point
1436,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,31700.00,380.2,436.15," -1,209.15", 19.90,144.0,6.25,10.0,1_week,-0.001654151256096359,minus_10
1437,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,31800.00,444.25,498.5, -848.90, 21.97,72.0,6.25,10.0,1_week,-0.004813943531352116,minus_10
1438,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,31900.00,492.0,558.35, -884.40, 21.03,81.0,6.25,10.0,1_week,-0.007973735806608095,minus_10
1439,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,32000.00,580.0,622.55, -862.35, 22.80,30.0,6.25,10.0,1_week,-0.011133528081863853,minus_10
1440,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,32100.00,541.3,784.0,0,0,0.0,6.25,10.0,1_week,-0.01429332035711961,minus_10
1441,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,32200.00,577.95,848.25,0,0,0.0,6.25,10.0,1_week,-0.01745311263237559,minus_10
